"用户ID","特征","清洁效果","耗材","对比","时间"
"1001","55m²一居\n独居\n复合地板","覆盖度:92%\n日均清扫:36m²\n边角清扫全覆盖","滤网寿命:剩余72天\n尘盒清理:每5天","小户型续航与清扫均衡性靠前","2025-08"
"1003","80m²两居\n养宠\n仿实木","宠物毛发清理:88%\n自动回充成功率:94%","胶刷缠绕:轻度\n滤网更换:剩余20天","养宠家庭中清洁效率处于上等水平","2025-08"
"1004","130m²四居\n三代同堂\n通体砖","覆盖度:85%\n手动辅助清扫:1次/天\n定时清扫使用率:70%","电池衰减:18%\n边刷寿命:剩余35天","大户型操作便捷性优于同类10%","2025-08"
"1005","65m²公寓\n单身\n木地板","覆盖度:89%\n日均清扫:49m²\n无漏扫区域\n全屋无清扫死角","电池寿命:剩余40天\nHEPA滤网:剩余20%","优于85%同面积用户","2025-09"
"1006","70m²公寓\n情侣\n瓷砖","覆盖度:90%\n避障失败:0次/周","边刷磨损:无\n尘盒清理:每4天","拖地功能使用率前10%","2025-09"
"1007","90m²三居\n1狗\n短毛地毯","毛发清理:94%\n地毯增压使用率:3次/月","胶刷更换:剩余30天\n尘盒容量:每3天清理","毛发处理效率前5%","2025-09"
"1008","85m²两居\n2猫\n混合地面","猫砂泼洒处理:5次/月\n自动回充成功率:90%","主刷缠绕:无\n滤网更换:剩余10天","清洁效率优于同类20%","2025-10"
"1009","120m²四居\n老人\n防滑砖","手动操作占比:75%\n定时清扫使用率:3次/周","电池衰减:30%\n水箱使用率:60%","语音控制熟练度提升，操作更便捷","2025-10"
"1010","150m²别墅\n儿童\n多层","跨楼层失败:0次/周\n玩具避障率:90%","边刷更换:0.5个/月\n尘袋消耗:0.8个/月","机械臂配件已安装+跨楼层导航优化完成","2025-10"
"1012","100m²三居\n三口之家\n大理石","覆盖度:90%\n全屋地面均匀清扫\n避障成功率:92%","滚刷无损耗\n水箱续航提升","大理石养护清洁表现稳定","2025-10"
"1011","55m²一居\n独居\n复合地板","覆盖度:93%\n日均清扫:38m²\n沿边清扫无死角","滤网寿命:剩余65天\n尘盒清理:每6天","清洁效率优于85%小户型用户","2025-11"
"1002","100m²三居\n三口之家\n大理石","覆盖度:91%\n餐桌区域定点清扫\n避障成功率:93%","主刷磨损:极轻\n水箱加水:每2天1次","大理石地面清洁效果优于同类15%","2025-11"
"1003","80m²两居\n养宠\n仿实木","宠物毛发清理:89%\n自动回充成功率:95%","胶刷缠绕:无\n滤网更换:剩余15天","养宠家庭中清洁效率前20%","2025-11"
"1004","130m²四居\n三代同堂\n通体砖","覆盖度:86%\n手动辅助清扫:0次/天\n定时清扫使用率:75%","电池衰减:20%\n边刷寿命:剩余30天","大户型全自动清洁覆盖率100%","2025-12"
"1005","65m²公寓\n单身\n木地板","覆盖度:90%\n日均清扫:50m²\n无漏扫区域\n全屋无清扫死角","电池寿命:剩余35天\nHEPA滤网:剩余15%","优于90%同面积用户","2025-12"
"1006","70m²公寓\n情侣\n瓷砖","覆盖度:91%\n避障失败:0次/周","边刷磨损:无\n尘盒清理:每5天","拖地功能使用率前8%","2025-12"
"1001","55m²一居\n独居\n木地板","覆盖度:91%\n日均清扫:34m²\n墙角无积灰","滤网寿命:剩余68天\n尘盒清理:每4天","小户型静音清扫表现突出","2025-12"
"1002","100m²三居\n三口之家\n通体大理石","覆盖度:89%\n客厅重点清扫频次高\n避障成功率:91%","主刷无磨损\n水箱续航持久","硬质地面养护能力优异","2025-09"
"1009","120m²四居\n老人居家\n防滑仿古砖","手动操作占比:70%\n定时清扫使用率:4次/周","电池衰减:25%\n水箱全自动启停","简易操作适配老年使用习惯","2025-11"
"1010","150m²别墅\n亲子家庭\n多层实木","跨楼层导航稳定\n玩具杂物避障率:88%","边刷损耗极低\n尘袋耗材节省15%","全屋多层清洁智能化程度高","2025-08"
"1007","90m²三居\n养宠家庭\n短毛地毯+瓷砖","毛发清理:92%\n地毯深度增压频次合理","胶刷寿命充足\n尘盒收纳容量偏大","长短毛宠物适配性优秀","2025-11"
"1008","85m²两居\n多猫家庭\n实木复合地面","猫砂结块处理:7次/月\n回充定位精准度91%","主刷自清洁良好\n滤网倒计时合理","低噪音运行适合居家日常","2025-09"
"1011","55m²一居\n单人独居\n强化复合地板","覆盖度:92%\n夜间低噪清扫34m²","滤网抗异味能力强\n尘盒易拆洗","小户型夜间清扫体验佳","2025-10"
"1012","100m²三居\n三口常住\n大理石拼花地面","覆盖度:91%\n餐厅油污定点清扫\n避障灵敏无磕碰","耗材损耗极低","拼花地面清洁不伤材质","2025-12"
"1001","55m²一居\n独居青年\n复合木地板","覆盖度:93%\n沿边贴合无留白\n日均清扫39m²","滤网长效抗霾\n尘盒免频繁倾倒","综合清扫能力跻身小户型前10%","2025-11"
"1002","100m²三居\n家庭常住\n哑光大理石","覆盖度:90%\n日常保洁全覆盖\n餐桌残渣清扫彻底","智能控水省耗材\n主刷零磨损","哑光地面清洁不残留水痕","2025-12"
